,game_id,original_event_id,period_id,time_seconds,team_id,player_id,start_x,end_x,start_y,end_y,type_id,result_id,bodypart_id,action_id,type_name
2,1,,1,3.5,299,107252,42.525000000000006,56.910000000000004,62.967999999999996,63.24,21,1,0,2,dribble
8,1,,1,14.0,299,120103,47.145,55.96499999999999,61.608,57.392,21,1,0,8,dribble
16,1,,1,39.5,299,120103,61.949999999999996,59.535000000000004,8.704,12.104000000000001,21,1,0,16,dribble
18,1,,1,41.5,299,313171,49.56,48.19499999999999,23.12,27.608,21,1,0,18,dribble
23,1,,1,50.0,935,346000,77.595,74.75999999999999,52.564,56.44,21,1,0,23,dribble
28,1,,1,55.5,299,146760,68.88,78.12,66.708,65.008,21,1,0,28,dribble
37,1,,1,79.5,935,388734,77.7,77.805,49.504,54.264,21,1,0,37,dribble
45,1,,1,105.5,299,135127,77.80499999999999,75.6,16.796,7.276,21,1,0,45,dribble
49,1,,1,113.5,935,380617,70.14,59.63999999999999,17.884,22.78,21,1,0,49,dribble
52,1,,1,123.5,299,146760,70.97999999999999,97.22999999999999,53.312000000000005,51.612,21,1,0,52,dribble
56,1,,1,150.5,299,106151,72.24,78.96,5.236,4.352,21,1,0,56,dribble
60,1,,1,177.0,935,276037,39.900000000000006,33.81,55.624,56.1,21,1,0,60,dribble
65,1,,1,185.5,299,146760,32.339999999999996,44.94,50.864,47.87200000000001,21,1,0,65,dribble
67,1,,1,189.0,299,146760,44.94,58.275000000000006,47.87200000000001,45.763999999999996,21,1,0,67,dribble
74,1,,1,220.0,935,280060,63.525,63.105000000000004,5.032000000000004,8.5,21,1,0,74,dribble
77,1,,1,225.0,299,21778,43.68000000000001,41.160000000000004,23.323999999999998,29.308,21,1,0,77,dribble
81,1,,1,235.5,299,120103,47.145,56.489999999999995,36.92399999999999,37.128,21,1,0,81,dribble
90,1,,1,265.0,935,380617,62.474999999999994,60.06,18.496000000000002,47.736000000000004,21,1,0,90,dribble
94,1,,1,275.0,935,369464,95.55,89.985,43.86,32.096,21,1,0,94,dribble
97,1,,1,280.5,935,346000,62.685,47.24999999999999,17.476,14.483999999999995,21,1,0,97,dribble
100,1,,1,284.0,299,106151,37.695,28.560000000000002,21.556,18.224,21,1,0,100,dribble
