,Unnamed: 0,ownHalf,opponentHalf,teamID,teamName,outline,markercolor
0,0,20.288888888888888,5.3,292,Belenenses,white,blue
1,1,19.944444444444443,7.7,299,Benfica,white,red
2,2,20.066666666666663,5.466666666666667,122,Boavista,white,black
3,3,19.433333333333334,6.755555555555556,288,Braga,white,red
4,4,19.31111111111111,5.277777777777778,935,Famalicao,white,blue
5,5,19.3,5.366666666666666,263,Farense,black,white
6,6,19.444444444444443,4.988888888888889,290,Gil Vicente,blue,red
7,7,19.933333333333334,4.866666666666666,264,Maritimo,green,red
8,8,20.95555555555556,5.844444444444444,108,Moreirense,green,white
9,9,20.14444444444445,5.255555555555556,936,Nacional,white,black
10,10,21.5,4.9,786,Paços de Ferreira,green,yellow
11,11,20.31111111111111,5.877777777777778,1463,Portimonense,white,black
12,12,20.31111111111111,7.088888888888889,297,Porto,white,blue
13,13,19.73333333333333,5.844444444444444,121,Rio Ave,white,green
14,14,18.944444444444443,5.322222222222222,251,Santa Clara,red,white
15,15,19.566666666666663,7.377777777777778,296,Sporting,white,green
16,16,20.488888888888887,5.555555555555555,8071,Tondela,yellow,green
17,17,20.42222222222222,6.133333333333334,107,Vitória,white,black
